Namespace(fusion_method='intermediate', hypes_yaml='/space/chuhz/workspace/v2x_object/Where2comm/opencood/hypes_yaml/dair-v2x/dair_where2comm_max_multiscale_resnet_logits_fuse3d_da_KL_0.2_add_occlusion_2.yaml', model_dir='')
Dataset Building
Creating Model
Training start
learning rate 0.002000
/space/chuhz/software/anaconda3/envs/Where2comm/lib/python3.7/site-packages/mmcv/__init__.py:21: UserWarning: On January 1, 2023, MMCV will release v2.0.0, in which it will remove components related to the training process and add a data transformation module. In addition, it will rename the package names mmcv to mmcv-lite and mmcv-full to mmcv. See https://github.com/open-mmlab/mmcv/blob/master/docs/en/compatibility.md for more details.
  'On January 1, 2023, MMCV will release v2.0.0, in which it will remove '
[epoch 0][46/801], || Loss: 6.06 ||total: 2.45 | reg: 1.70 | conf: 0.75 | total_v: 2.38 | reg_v: 1.72 | conf_v: 0.66 | total_i: 1.22 | reg_i: 0.78 | conf_i: 0.44 | 
[epoch 0][47/801], || Loss: 7.44 ||total: 3.59 | reg: 1.96 | conf: 1.63 | total_v: 2.24 | reg_v: 1.15 | conf_v: 1.09 | total_i: 1.61 | reg_i: 0.89 | conf_i: 0.71 | 
[epoch 0][48/801], || Loss: 6.77 ||total: 2.63 | reg: 1.74 | conf: 0.89 | total_v: 2.63 | reg_v: 1.92 | conf_v: 0.70 | total_i: 1.51 | reg_i: 0.95 | conf_i: 0.56 | 
[epoch 0][49/801], || Loss: 5.77 ||total: 2.26 | reg: 1.41 | conf: 0.85 | total_v: 2.17 | reg_v: 1.44 | conf_v: 0.74 | total_i: 1.33 | reg_i: 0.81 | conf_i: 0.52 | 
[epoch 0][50/801], || Loss: 5.51 ||total: 2.16 | reg: 1.40 | conf: 0.77 | total_v: 2.10 | reg_v: 1.40 | conf_v: 0.70 | total_i: 1.25 | reg_i: 0.74 | conf_i: 0.51 | 
[epoch 0][51/801], || Loss: 6.57 ||total: 2.34 | reg: 1.53 | conf: 0.81 | total_v: 2.78 | reg_v: 1.60 | conf_v: 1.18 | total_i: 1.44 | reg_i: 0.83 | conf_i: 0.61 | 
[epoch 0][52/801], || Loss: 5.20 ||total: 1.90 | reg: 1.29 | conf: 0.61 | total_v: 1.97 | reg_v: 1.35 | conf_v: 0.62 | total_i: 1.33 | reg_i: 0.75 | conf_i: 0.58 | 
[epoch 0][53/801], || Loss: 6.05 ||total: 2.33 | reg: 1.65 | conf: 0.68 | total_v: 2.49 | reg_v: 1.74 | conf_v: 0.75 | total_i: 1.23 | reg_i: 0.71 | conf_i: 0.52 | 
[epoch 0][54/801], || Loss: 5.02 ||total: 1.86 | reg: 1.19 | conf: 0.66 | total_v: 1.75 | reg_v: 1.17 | conf_v: 0.58 | total_i: 1.42 | reg_i: 0.89 | conf_i: 0.52 | 
[epoch 0][55/801], || Loss: 4.88 ||total: 1.80 | reg: 1.21 | conf: 0.59 | total_v: 1.90 | reg_v: 1.20 | conf_v: 0.70 | total_i: 1.17 | reg_i: 0.65 | conf_i: 0.53 | 
